title_year,imdb_score,color,num_critic_for_reviews,duration,director_facebook_likes,Director_Credits,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,actor_2_facebook_likes,movie_facebook_likes,budget,Movie_Rating
2016,6.9,Color,673,183,0,2000,15000,24450,0,3018,English,USA,4000,197000,2.50E+08,3.30E+08
2016,8.2,Color,516,147,94,11000,21000,64798,0,1022,English,USA,19000,72000,2.50E+08,4.07E+08
2016,7.5,Color,322,122,681,105,998,1327,4,432,English,USA,119,30000,1.85E+08,1.30E+08
2016,6.6,Color,248,110,282,103,11000,21175,2,239,English,USA,10000,29000,1.80E+08,1.24E+08
2016,7.3,Color,396,144,0,1000,34000,49684,6,622,English,USA,13000,54000,1.78E+08,1.55E+08
2016,6.9,Color,418,123,452,329,10000,11287,8,971,English,USA,336,80000,1.75E+08,1.61E+08
2016,7.8,Color,370,106,4000,591,19000,32921,0,398,English,UK,13000,65000,1.75E+08,3.63E+08
2016,5.5,Color,286,120,776,535,890,3233,0,520,English,USA,812,67000,1.65E+08,1.02E+08
2016,6.4,Color,218,113,33,11000,40000,80806,1,131,English,USA,25000,30000,1.70E+08,76846624
2016,7.3,Color,275,123,0,648,3000,5505,0,781,English,USA,716,89000,1.60E+08,46978995
2016,6.6,Color,248,110,282,103,11000,21175,2,239,English,USA,10000,29000,1.80E+08,1.24E+08
2016,5.5,Color,464,116,176,322,783,2097,4,1211,English,USA,370,62000,1.44E+08,1.18E+08
2016,7.2,Color,210,95,5,967,24000,36095,0,145,English,USA,11000,24000,1.45E+08,1.44E+08
2016,5.5,Color,184,126,295,284,18000,19769,4,273,English,USA,934,24000,1.40E+08,31141074
2016,6.8,Color,252,117,14000,358,535,1950,0,106,English,UK,400,27000,1.40E+08,52792307
2016,7.1,Color,267,123,521,265,13000,13752,0,297,English,UK,365,31000,1.20E+08,1.09E+08
2016,6.1,Color,231,120,19,9000,26000,46719,2,134,English,USA,11000,16000,1.15E+08,47952020
2016,6.3,Color,181,112,13,799,5000,8306,,115,English,USA,833,12000,1.35E+08,81638674
2016,5.8,Color,181,120,124,943,6000,12452,3,144,English,USA,5000,12000,1.10E+08,66002193
2016,6.9,Color,196,129,209,886,11000,23031,6,139,English,USA,11000,15000,90000000,64685359
2016,6.8,Color,165,87,11,745,1000,4782,0,155,English,Japan,904,36000,75000000,3.24E+08
2016,6.3,Color,141,97,6,415,22000,24350,0,126,English,USA,1000,14000,73000000,1.07E+08
2016,5.9,Color,225,99,24,864,18000,20276,3,323,English,UK,992,28000,60000000,62401264
2016,6,Color,14,119,3,22,879,1026,1,9,English,China,107,426,68005000,
2016,8.1,Color,579,108,84,361,16000,18239,0,1058,English,USA,805,117000,58000000,3.63E+08
2016,6.6,Color,177,107,43,569,12000,14569,2,110,English,USA,919,10000,50000000,1.26E+08
2016,7.4,Color,204,144,0,681,769,3580,0,219,English,USA,726,44000,50000000,52822418
2016,6.7,Color,79,139,378,303,11000,12786,1,47,English,USA,552,10000,50000000,20389967
2016,4.8,Color,226,102,0,1000,14000,24107,4,150,English,USA,8000,28000,50000000,28837115
2016,7.8,Color,300,134,0,336,1000,2676,0,279,English,USA,575,40000,40000000,1.02E+08
2016,5.9,Color,119,102,167,655,2000,5178,0,58,English,USA,874,0,40000000,90835030
2016,5.2,Color,194,112,5,724,17000,19974,0,266,English,USA,1000,14000,38000000,34912982
2016,6.1,Color,148,110,11,591,2000,4882,4,83,English,USA,756,15000,38000000,46813366
2016,6,Color,177,92,89,190,17000,17860,0,111,English,USA,329,0,35000000,55291815
2016,6.3,Color,214,115,214,968,14000,27214,3,106,English,USA,12000,0,20000000,12626905
2015,6.8,Color,602,148,0,161,11000,11700,1,994,English,UK,393,85000,2.45E+08,2.00E+08
2015,7.5,Color,635,141,0,19000,26000,92000,4,1117,English,USA,21000,118000,2.50E+08,4.59E+08
2015,7,Color,644,124,365,1000,3000,8458,0,1290,English,USA,2000,150000,1.50E+08,6.52E+08
2015,7.2,Color,424,140,0,14000,26000,79150,0,657,English,USA,23000,94000,1.90E+08,3.50E+08
2015,5.4,Color,384,127,0,13000,17000,47334,1,720,English,USA,15000,44000,1.76E+08,47375327
2015,8.3,Color,536,95,0,384,1000,2944,1,773,English,USA,767,118000,1.75E+08,3.56E+08
2015,6.5,Color,443,130,663,604,2000,5046,2,497,English,USA,638,37000,1.90E+08,93417865
2015,6.6,Color,389,137,508,14000,34000,81385,1,383,English,USA,22000,38000,1.60E+08,2.82E+08
2015,6.6,Color,474,126,230,2000,24000,38873,2,867,English,USA,10000,82000,1.55E+08,89732035
2015,8.1,Color,739,120,750,943,27000,40025,0,1588,English,Australia,9000,191000,1.50E+08,1.54E+08
2015,7.4,Color,465,131,188,641,10000,21840,0,440,English,China,10000,47000,1.50E+08,1.95E+08
2015,5.8,Color,256,111,456,394,20000,21393,4,186,English,USA,548,24000,1.50E+08,34964818
2015,8.1,Color,556,156,0,733,29000,57108,0,1188,English,USA,27000,190000,1.35E+08,1.84E+08
2015,7.4,Color,517,117,235,680,2000,5730,6,549,English,USA,2000,61000,1.30E+08,1.80E+08
2015,6.7,Color,165,94,12,183,17000,17883,0,214,English,USA,523,26000,1.35E+08,1.77E+08
2015,4.3,Color,369,100,128,78,596,1261,3,695,English,USA,360,41000,1.20E+08,56114221
2015,6.1,Color,358,114,62,884,12000,16718,0,499,English,USA,2000,52000,1.10E+08,1.55E+08
2015,6.3,Color,263,119,124,1000,14000,22622,0,258,English,USA,5000,27000,1.10E+08,1.30E+08
2015,8.1,Color,568,151,0,372,13000,14831,1,1023,English,USA,801,153000,1.08E+08,2.28E+08
2015,5.8,Color,256,111,456,394,20000,21393,4,186,English,USA,548,24000,1.50E+08,34964818
2015,5.3,Color,163,114,19,848,1000,3962,1,163,English,USA,897,37000,1.05E+08,28772222
2015,7,Color,289,122,2000,571,26000,28328,0,161,English,USA,911,27000,1.00E+08,24985612
2015,7.2,Color,208,88,20,36,144,309,0,155,English,USA,42,33000,99000000,1.30E+08
2015,7,Color,343,105,0,502,2000,4671,1,322,English,USA,520,56000,95000000,2.01E+08
2015,5,Color,70,92,12,1000,35000,38450,0,53,English,USA,1000,0,90000000,85884815
2015,5.6,Color,253,106,0,1000,22000,35367,0,342,English,USA,11000,39000,88000000,78747585
2015,4.3,Color,369,100,128,78,596,1261,3,695,English,USA,360,41000,1.20E+08,56114221
2015,6.7,Color,152,89,266,859,12000,26839,0,97,English,USA,11000,16000,80000000,1.70E+08
2015,6.4,Color,63,81,92,8,23,54,0,3,French,France,21,257,,
2015,6,Color,202,106,42,612,14000,16922,0,117,English,USA,788,21000,90000000,27356090
2015,4.4,Color,3,89,0,20,163,370,0,1,Spanish,Mexico,94,138,8000000,
2015,7.8,Color,119,108,54,6000,12000,30230,1,64,English,France,11000,31000,81200000,1339152
2015,7.3,Color,362,116,0,104,15000,15735,2,360,English,USA,509,43000,75000000,45434443
2015,6.4,Color,308,91,22,1000,7000,13616,0,275,English,USA,4000,70000,74000000,3.36E+08
2015,6,Color,147,92,5,726,870,5217,0,133,English,USA,861,16000,74000000,1.62E+08
2015,5.4,Color,261,133,0,301,26000,28129,1,207,English,USA,326,11000,70000000,7097125
2015,6.4,Color,280,125,3000,3000,14000,30010,0,229,English,USA,11000,30000,68000000,81257500
2015,6.6,Color,279,105,43,523,10000,11943,0,221,English,USA,806,23000,50100000,53846915
2015,7.1,Color,361,121,175,221,963,2131,0,265,English,UK,580,40000,55000000,43247140
2014,7.5,Color,422,164,0,773,5000,9152,0,802,English,New Zealand,972,65000,2.50E+08,2.55E+08
2014,5.7,Color,378,165,0,808,974,3988,2,918,English,USA,956,56000,2.10E+08,2.45E+08
2014,6.7,Color,495,142,464,825,15000,28631,0,1067,English,USA,10000,41000,2.00E+08,2.03E+08
2014,8,Color,539,149,0,20000,34000,91434,7,752,English,USA,22000,82000,2.00E+08,2.34E+08
2014,7.9,Color,585,113,218,509,10000,12652,1,741,English,USA,854,77000,1.78E+08,1.00E+08
2014,7,Color,401,97,171,846,11000,15516,2,634,English,USA,2000,89000,1.80E+08,2.41E+08
2014,7.6,Color,521,130,198,884,10000,14363,0,620,English,USA,2000,45000,1.70E+08,2.09E+08
2014,7.8,Color,576,136,94,2000,19000,36188,1,742,English,USA,11000,55000,1.70E+08,2.60E+08
2014,7.9,Color,384,102,38,562,756,2963,0,433,English,USA,719,41000,1.65E+08,2.22E+08
2014,8.1,Color,653,121,571,3000,14000,32438,3,1097,English,USA,14000,96000,1.70E+08,3.33E+08
2014,8.6,Color,712,169,22000,6000,11000,31488,1,2725,English,USA,11000,349000,1.65E+08,1.88E+08
2014,6.9,Color,196,92,50,517,3000,5810,2,130,English,USA,1000,11000,1.45E+08,1.12E+08
2014,6.1,Color,314,150,0,748,23000,26490,0,657,English,UK,893,51000,1.40E+08,65007045
2014,7.9,Color,292,102,255,953,18000,23378,5,343,English,USA,3000,46000,1.45E+08,1.77E+08
2014,6.7,Color,153,92,35,179,19000,19963,0,118,English,USA,411,11000,1.32E+08,83348920
2014,5.8,Color,434,138,0,8000,12000,32355,2,1240,English,USA,9000,71000,1.25E+08,1.01E+08
2014,6.2,Color,154,98,189,1000,49000,53587,7,126,English,USA,3000,11000,1.27E+08,1.14E+08
2014,6.7,Color,403,123,508,14000,34000,81385,1,591,English,USA,22000,52000,1.25E+08,3.37E+08
2014,6.4,Color,159,101,107,56,688,1031,0,99,English,USA,237,0,1.03E+08,1.32E+08
2014,6.2,Color,492,117,294,1000,10000,14161,0,630,English,USA,2000,60000,1.00E+08,58607007
2014,5.9,Color,348,101,473,429,833,2690,0,491,English,USA,809,62000,1.25E+08,1.91E+08
2014,6.2,Color,366,102,263,1000,6000,10583,0,523,English,USA,1000,71000,1.10E+08,1.06E+08
2014,6,Color,245,101,420,467,12000,16235,0,269,English,USA,3000,21000,1.00E+08,72660029
2014,6.1,Color,320,131,385,11000,26000,52610,15,351,English,USA,13000,56000,90000000,39292022
2014,5.5,Color,175,102,44,766,12000,17098,4,154,English,USA,3000,16000,95000000,17176900
2014,6.3,Color,355,119,0,968,40000,54031,1,462,English,UK,11000,37000,1.00E+08,23014504
2014,6.7,Color,459,139,168,1000,14000,22226,2,713,English,USA,5000,49000,85000000,1.51E+08
2014,7.6,Color,406,134,452,697,11000,20411,4,701,English,USA,8000,82000,68000000,85707116
2014,5.6,Color,272,105,545,74,795,1099,0,308,English,Canada,172,20000,80000000,23219748
2014,6,Color,245,101,420,467,12000,16235,0,269,English,USA,3000,21000,1.00E+08,72660029
2014,6.1,Color,371,118,0,559,13000,27674,7,403,English,USA,13000,34000,70000000,78031620
2014,6.3,Color,261,92,28,423,3000,5178,1,423,English,USA,692,37000,70000000,55942830
2014,4.2,Color,156,99,212,182,576,1520,0,202,English,USA,358,12000,70000000,18821279
2014,6.5,Color,327,132,76,464,3000,7081,1,346,English,USA,3000,32000,66000000,43568507
2014,7.2,Color,322,137,11000,465,769,2938,0,351,English,USA,698,35000,65000000,1.16E+08
2014,5.2,Color,176,118,87,929,2000,4796,6,213,English,USA,1000,16000,65000000,85911262
2014,5.1,Color,308,92,72,568,623,3165,0,194,English,Australia,593,15000,65000000,19059018
2014,6.5,Black and White,339,102,436,6000,23000,49433,3,239,English,USA,13000,32000,65000000,13750556
2014,8.1,Color,568,149,21000,625,835,4348,0,1127,English,USA,812,146000,61000000,1.68E+08
2014,6.2,Color,313,105,0,288,539,1411,3,289,English,USA,394,17000,60000000,50549107
2014,6.8,Color,219,96,7,642,874,3151,3,122,English,USA,668,11000,60000000,50807639
2013,6.5,Color,450,150,563,1000,40000,45757,1,711,English,USA,2000,48000,2.15E+08,89289910
2013,7.2,Color,733,143,0,748,15000,20495,0,2536,English,USA,3000,118000,2.25E+08,2.91E+08
2013,7.9,Color,509,186,0,773,5000,9152,6,951,English,USA,972,83000,2.25E+08,2.58E+08
2013,7.2,Color,608,195,1000,3000,21000,30426,3,1187,English,USA,4000,95000,2.00E+08,4.09E+08
2013,7.3,Color,376,104,37,760,12000,14863,0,265,English,USA,779,44000,2.00E+08,2.68E+08
2013,6.4,Color,525,130,0,11000,44000,73441,4,511,English,USA,15000,60000,2.15E+08,2.35E+08
2013,7,Color,654,123,395,1000,17000,32392,0,995,English,USA,11000,129000,1.90E+08,2.02E+08
2013,7.8,Color,590,132,14000,928,19000,21411,0,1171,English,USA,981,92000,1.90E+08,2.29E+08
2013,6.3,Color,338,114,0,140,979,1766,1,205,English,USA,557,22000,1.95E+08,65171860
2013,7.3,Color,490,143,1000,77,29000,29770,4,753,English,Australia,509,115000,1.05E+08,1.45E+08
2013,7,Color,575,131,0,919,16000,19166,0,1106,English,USA,968,83000,1.90E+08,1.02E+08
2013,6.3,Color,218,128,47,982,18000,20965,2,324,English,USA,1000,35000,1.75E+08,38297305
2013,7.6,Color,406,102,69,490,1000,2582,0,904,English,USA,523,58000,1.50E+08,4.01E+08
2013,7.1,Color,486,112,230,12000,26000,59803,3,532,English,USA,20000,63000,1.70E+08,2.06E+08
2013,6.4,Color,339,131,776,256,17000,18204,2,434,English,USA,551,33000,1.50E+08,73103784
2013,5.8,Color,351,122,209,934,17000,31958,6,288,English,USA,12000,42000,1.30E+08,1.23E+08
2013,6.5,Color,166,96,13,463,16000,17416,0,90,English,USA,881,13000,1.35E+08,83024900
2013,7.6,Color,502,146,508,523,34000,49355,1,706,English,USA,14000,82000,1.30E+08,4.25E+08
2013,4.9,Color,349,100,0,894,10000,14168,0,744,English,USA,943,37000,1.30E+08,60522097
2013,5.6,Color,208,96,124,1000,16000,31549,2,210,English,USA,12000,20000,1.30E+08,33592415
2013,6.6,Color,476,109,662,1000,13000,17689,0,814,English,USA,2000,61000,1.15E+08,93050117
2013,7,Color,539,124,364,1000,11000,22004,0,892,English,USA,10000,71000,1.20E+08,89021735
2013,6.7,Color,440,138,446,929,20000,23755,1,533,English,USA,992,68000,1.20E+08,1.33E+08
2013,7.3,Color,257,98,16,12000,16000,43286,3,195,English,USA,15000,28000,1.35E+08,1.87E+08
2013,7.8,Color,738,91,0,13,39,87,0,1885,English,UK,23,147000,1.00E+08,2.74E+08
2013,5.4,Color,125,105,67,40,681,914,3,59,English,USA,71,0,1.05E+08,71017784
2013,6.7,Color,326,114,151,430,11000,12908,4,554,English,USA,635,123000,1.10E+08,61656849
2013,6.7,Color,203,102,77,120,14000,14552,2,113,English,USA,151,17000,1.00E+08,1.08E+08
2013,8.2,Color,606,240,17000,4000,29000,46057,3,1138,English,USA,11000,138000,1.00E+08,1.17E+08
2013,5.3,Color,412,101,212,476,13000,15481,2,503,English,USA,787,66000,92000000,67344392
2013,7.3,Color,362,114,0,423,3000,5095,1,515,English,USA,806,70000,90000000,58229120
2013,5.9,Color,183,106,87,918,8000,10882,0,204,English,USA,956,28000,90000000,68558662
2013,6.7,Color,234,116,23,110,13000,25220,7,205,English,USA,12000,22000,84000000,53215979
2013,5.4,Color,139,101,221,11000,12000,39269,4,255,English,USA,11000,14000,80000000,1.34E+08
2013,5.2,Color,113,87,43,210,882,1971,0,66,English,USA,396,0,80000000,36073232
2013,6.5,Color,169,95,18,18,622,848,0,85,English,USA,161,15000,78000000,1.20E+08
2013,7.5,Color,306,98,275,1000,7000,11905,0,284,English,USA,2000,56000,76000000,3.68E+08
2013,7.3,Color,384,125,255,963,11000,13312,6,629,English,USA,988,105000,75000000,1.18E+08
2013,6.5,Color,358,119,845,992,18000,31782,3,698,English,USA,11000,45000,70000000,98895417
2013,5.6,Color,51,88,6,854,2000,6946,1,54,English,USA,1000,5000,70000000,8460990
2013,6.7,Color,286,115,101,585,13000,15708,1,279,English,USA,1000,34000,50000000,25121291
2012,8.5,Color,813,164,22000,23000,27000,106759,0,2701,English,USA,23000,164000,2.50E+08,4.48E+08
2012,6.6,Color,462,132,475,530,640,1873,1,738,English,USA,632,24000,2.64E+08,73058679
2012,8.1,Color,703,173,0,19000,26000,87697,3,1722,English,USA,21000,123000,2.20E+08,6.23E+08
2012,6.8,Color,451,106,188,718,10000,12572,1,341,English,USA,816,40000,2.25E+08,1.79E+08
2012,7,Color,599,153,464,963,15000,28489,0,1225,English,USA,10000,56000,2.30E+08,2.62E+08
2012,5.9,Color,377,131,532,627,14000,26679,0,751,English,USA,10000,44000,2.09E+08,65173160
2012,7.8,Color,750,143,0,393,883,2039,0,1498,English,UK,563,80000,2.00E+08,3.04E+08
2012,7.2,Color,488,93,56,838,2000,5005,0,428,English,USA,1000,39000,1.85E+08,2.37E+08
2012,6.1,Color,416,132,274,11000,26000,72881,0,710,English,USA,17000,53000,1.70E+08,1.55E+08
2012,7.8,Color,377,101,66,833,975,4451,1,345,English,USA,931,40000,1.65E+08,1.89E+08
2012,7.9,Color,645,182,0,773,5000,9152,,1367,English,USA,972,166000,1.80E+08,3.03E+08
