Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
18,0,3,3,1,17,25,0,7,21,0,0,250000000.00,6.4,CLASS-2
18,0,3,9,0,5,17,0,11,13,0,0,250000000.00,7.8,CLASS-4
16,0,3,21,0,11,37,1,80,39,0,3,185000000.00,7.1,CLASS-3
21,0,14,1,0,0,24,0,12,24,0,1,180000000.00,6.2,CLASS-2
14,0,15,10,0,4,33,1,8,63,0,5,178000000.00,6.9,CLASS-3
8,0,0,9,0,0,40,1,19,13,0,2,175000000.00,6,CLASS-2
17,0,3,6,0,0,100,0,32,48,0,3,175000000.00,7.4,CLASS-3
18,0,15,3,0,1,6,0,3,16,0,4,165000000.00,5.2,CLASS-2
12,0,2,33,0,1,95,0,80,45,0,10,170000000.00,6.2,CLASS-2
4,0,15,8,0,0,22,0,22,12,0,5,160000000.00,6.8,CLASS-3
21,0,7,1,0,0,24,0,14,24,0,1,180000000.00,6.2,CLASS-2
1,0,0,13,0,1,116,1,121,0,0,0,145000000.00,7.1,CLASS-3
28,0,7,2,0,0,51,0,18,28,0,0,140000000.00,5.4,CLASS-2
56,3,148,10,0,3,248,5,184,43,2,36,140000000.00,6.4,CLASS-2
17,0,38,9,0,38,16,0,1,75,0,13,120000000.00,6.6,CLASS-3
3,0,0,19,0,1,99,0,68,57,0,10,115000000.00,6.1,CLASS-2
10,0,15,1,0,2,47,0,2,34,0,1,110000000.00,5.7,CLASS-2
16,0,2,17,0,1,67,0,16,50,0,2,90000000.00,6.5,CLASS-2
2,0,1,16,0,1,67,2,99,0,0,1,75000000.00,6.5,CLASS-2
2,0,0,13,0,3,89,0,6,0,0,0,73000000.00,6.4,CLASS-2
12,0,5,2,0,0,32,0,6,26,0,1,60000000.00,5.9,CLASS-2
4,0,2,13,0,2,25,0,7,31,0,0,58000000.00,7.7,CLASS-4
10,0,0,1,0,0,10,1,8,17,0,0,50000000.00,6.3,CLASS-2
54,0,9,2,0,0,70,0,8,40,1,18,50000000.00,7.3,CLASS-3
4,0,8,10,0,8,4,0,26,57,0,4,50000000.00,6.9,CLASS-3
15,0,14,5,0,3,11,0,15,21,0,0,50000000.00,4.7,CLASS-1
10,0,1,22,0,0,7,0,2,48,0,0,40000000.00,7.3,CLASS-3
3,0,1,11,0,4,17,0,11,37,0,7,38000000.00,5.2,CLASS-2
13,0,11,8,0,1,9,0,3,30,0,2,38000000.00,6.1,CLASS-2
5,0,2,5,0,0,9,0,3,79,0,2,35000000.00,5.7,CLASS-2
44,0,4,0,0,0,3,0,1,49,0,6,20000000.00,6.3,CLASS-2
8,1,55,19,0,7,57,0,65,20,0,16,245000000.00,6.8,CLASS-3
16,0,25,25,0,25,93,0,80,0,0,0,250000000.00,7.3,CLASS-3
4,0,7,4,0,1,31,1,80,33,0,1,150000000.00,7,CLASS-3
9,0,14,8,0,0,64,0,16,5,0,1,190000000.00,7.1,CLASS-3
9,0,12,17,0,11,31,1,80,32,2,16,176000000.00,5.3,CLASS-2
8,2,46,11,2,46,31,1,80,0,0,3,175000000.00,8.1,CLASS-4
9,2,32,12,0,17,31,1,80,20,1,24,190000000.00,6.4,CLASS-2
80,0,5,2,0,0,98,0,68,29,0,1,160000000.00,6.6,CLASS-3
31,0,8,5,0,1,69,0,8,58,0,2,155000000.00,6.3,CLASS-2
18,1,71,14,1,71,22,0,7,44,1,36,150000000.00,8.1,CLASS-4
2,1,9,10,1,9,10,0,3,75,1,16,150000000.00,7.4,CLASS-3
14,0,11,4,0,5,17,0,41,51,0,8,150000000.00,8.5,CLASS-4
14,4,120,4,0,1,0,0,1,38,3,144,135000000.00,8,CLASS-4
23,0,2,21,0,14,22,0,5,45,1,7,130000000.00,7.3,CLASS-3
5,0,6,17,0,1,69,0,8,0,0,0,135000000.00,8.3,CLASS-4
5,0,1,0,0,1,47,0,18,24,0,1,120000000.00,4.3,CLASS-1
10,0,0,10,0,11,34,0,12,24,0,0,110000000.00,6.1,CLASS-2
8,0,15,1,0,0,45,0,2,33,0,1,110000000.00,6.2,CLASS-2
42,0,44,9,0,17,66,0,20,56,0,1,108000000.00,8,CLASS-4
33,2,37,7,0,0,22,0,15,47,1,28,100000000.00,6.9,CLASS-3
10,0,1,1,0,0,22,0,5,17,0,4,99000000.00,7.1,CLASS-3
16,0,33,5,0,3,28,0,12,28,0,1,95000000.00,6.9,CLASS-3
8,0,0,9,0,0,31,0,21,42,0,0,90000000.00,5,CLASS-1
17,0,6,13,0,1,17,0,11,27,0,0,88000000.00,5.5,CLASS-2
5,0,1,0,0,1,47,0,18,24,0,1,120000000.00,4.3,CLASS-1
22,0,7,29,0,10,31,0,21,1,0,0,80000000.00,6.7,CLASS-3
8,0,0,2,0,0,36,0,8,76,1,14,90000000.00,6,CLASS-2
17,0,15,3,0,0,35,0,3,0,0,0,81200000.00,7.7,CLASS-4
