Distributor,Theaters_x,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations
10,4137,2012,78000000,2.35,142,148,2,4,8,19,393,87,1,20,45,659,22,1,5,10,335,0,1,109,1,88,93,8,61,89,199,10,4,8,19,340,22,1,3,19,189,32,3,5,15
23,4024,2009,50000000,2.35,130,69,5,1,3,23,259,0,0,51,73,105,0,0,0,0,636,8,0,48,0,8,33,2,90,261,411,0,0,0,0,143,81,1,12,1,381,30,0,0,1
10,4070,2012,120000000,2.35,115,36,15,1,9,34,259,0,0,51,73,538,15,0,48,74,700,19,0,19,0,27,51,2,20,67,411,0,0,0,0,118,38,1,8,16,284,24,1,4,21
16,4380,2010,200000000,2.39,124,219,10,2,9,16,361,74,2,31,104,219,0,1,11,41,192,63,1,25,1,101,87,1,21,15,341,2,2,1,9,216,48,2,3,37,264,31,3,7,31
16,4380,2010,200000000,2.39,124,219,10,2,9,16,361,74,2,31,104,219,0,1,11,41,192,63,1,25,1,101,87,1,21,15,341,2,2,1,9,216,48,2,3,37,264,31,3,7,31
10,4151,2014,125000000,2.35,123,136,79,0,5,16,204,0,1,111,177,332,36,0,19,24,446,15,1,6,1,88,96,8,63,91,476,1,0,0,9,154,29,0,1,1,218,18,0,0,5
30,3728,2010,200000000,1.85,108,440,31,2,16,63,228,57,3,66,137,442,0,0,7,41,277,0,2,34,2,44,78,4,69,90,377,30,0,1,6,61,50,0,1,29,74,51,4,26,56
30,3728,2010,200000000,1.85,108,440,31,2,16,63,228,57,3,66,137,442,0,0,7,41,277,0,2,34,2,44,78,4,69,90,377,30,0,1,6,61,50,0,1,29,74,51,4,26,56
29,4370,2016,75000000,1.85,87,66,6,2,0,11,279,31,2,20,82,183,43,3,2,18,415,63,1,12,1,8,67,2,97,268,107,16,0,1,3,180,0,0,1,1,142,0,0,0,0
30,4028,2016,175000000,1.85,106,219,17,2,4,11,323,2,0,1,6,51,81,1,48,100,61,121,1,42,1,101,99,1,27,21,340,6,0,0,1,25,50,1,3,9,223,31,0,0,4
10,4175,2015,160000000,2.35,137,136,80,0,5,16,204,0,1,112,178,332,38,0,19,24,446,17,1,0,1,88,99,8,64,92,476,2,0,0,9,154,30,0,1,1,218,19,0,0,5
16,4233,2014,210000000,2.39,165,289,53,0,9,15,290,52,2,16,70,597,100,1,22,47,408,77,3,19,3,200,34,0,8,3,178,15,0,1,4,9,24,0,0,2,251,32,0,0,0
30,4080,2014,170000000,2.39,121,181,13,0,15,12,85,32,0,17,37,673,0,0,16,61,166,39,0,3,0,217,20,0,6,8,250,22,0,15,12,20,0,0,0,0,6,12,1,7,39
30,4155,2011,250000000,2.39,137,371,6,1,7,11,228,59,3,67,138,500,0,1,49,117,253,49,1,35,1,75,95,1,112,235,579,36,1,3,13,61,51,0,1,29,315,36,1,3,18
30,3841,2013,170000000,2.39,112,4,31,1,7,14,83,17,0,13,45,469,0,1,85,134,718,25,1,6,1,25,57,2,8,13,102,8,0,0,3,187,55,6,2,6,398,62,1,3,8
31,4045,2012,180000000,2.39,169,343,19,3,127,130,168,91,2,44,53,425,54,1,1,28,615,30,0,5,0,83,65,3,78,105,191,12,3,35,55,13,45,1,18,26,38,0,0,0,0
30,3912,2013,215000000,2.39,130,393,32,0,14,21,183,72,1,43,136,457,0,1,6,52,602,0,1,36,1,44,85,4,72,93,439,5,0,0,0,248,48,1,2,10,134,0,0,0,1
31,4325,2009,250000000,2.39,153,111,17,1,3,8,102,11,0,15,46,450,124,1,9,10,167,21,0,0,0,165,0,0,4,6,564,8,1,7,26,34,15,5,1,45,164,60,1,5,12
26,3452,2005,125000000,2.39,23,384,25,2,22,60,414,49,2,73,182,44,0,2,11,19,283,70,2,38,2,75,68,1,107,230,12,10,1,8,16,298,20,0,0,1,87,24,1,1,13
26,3452,2005,125000000,2.39,23,384,25,2,22,60,414,49,2,73,182,44,0,2,11,19,283,70,2,38,2,75,68,1,107,230,12,10,1,8,16,298,20,0,0,1,87,24,1,1,13
16,3849,1966,162000000,2.39,50,348,25,0,2,5,342,108,1,6,22,188,0,1,3,40,511,79,0,13,0,32,22,1,1,22,94,0,0,0,3,59,71,2,18,24,239,57,0,0,4
26,3967,2014,170000000,1.85,130,284,10,0,2,9,22,81,1,34,47,273,52,0,3,10,250,83,1,53,1,148,30,1,74,102,386,8,0,0,0,227,29,1,2,5,276,15,0,0,1
