Movie_ratings,Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,Revenue,Movie_ratings,Finance_Ratio,Finance_Label
6.4,2016,2.35,17,0,1,28,0,1,26,0,0,18,0,3,250000000.00,330249062.00,6.4,1.32,AVERAGE
7.8,2016,2.35,83,0,35,63,0,38,42,0,5,18,0,3,250000000.00,407197282.00,7.8,1.63,AVERAGE
7.1,2016,2.35,16,0,1,16,0,0,21,0,0,16,0,3,185000000.00,130468626.00,7.1,0.71,FLOP
6.2,2016,2.35,106,2,73,46,0,9,15,0,0,21,0,14,180000000.00,124051759.00,6.2,0.69,FLOP
6.9,2016,2.35,28,1,106,47,0,67,10,0,6,14,0,15,178000000.00,154985087.00,6.9,0.87,FLOP
6,2016,2.35,65,0,54,351,0,5,34,0,0,8,0,0,175000000.00,161087183.00,6,0.92,FLOP
7.4,2016,1.85,58,0,53,81,0,45,32,0,14,17,0,3,175000000.00,362645141.00,7.4,2.07,BLOCKBUSTER
5.2,2016,2.35,182,0,5,42,0,5,74,0,4,18,0,15,165000000.00,102315545.00,5.2,0.62,FLOP
6.2,2016,1.85,76,0,67,69,0,13,40,1,56,12,0,2,170000000.00,76846624.00,6.2,0.45,FLOP
6.8,2016,2.35,48,0,2,120,0,6,31,0,11,4,0,15,160000000.00,46978995.00,6.8,0.29,FLOP
6.2,2016,2.35,106,2,73,46,0,8,15,0,0,21,0,7,180000000.00,124051759.00,6.2,0.69,FLOP
7.1,2016,2.35,161,1,48,51,1,47,106,0,1,1,0,0,145000000.00,143523463.00,7.1,0.99,FLOP
5.4,2016,2.35,47,0,4,22,0,0,82,0,0,28,0,7,140000000.00,31141074.00,5.4,0.22,FLOP
6.4,2016,2.35,26,1,17,69,0,2,51,0,7,56,3,148,140000000.00,52792307.00,6.4,0.38,FLOP
6.6,2016,2.35,73,1,27,23,0,7,44,0,2,17,0,38,120000000.00,108521835.00,6.6,0.9,FLOP
6.1,2016,2.35,24,0,8,14,0,3,11,0,0,3,0,0,115000000.00,47952020.00,6.1,0.42,FLOP
5.7,2016,2.35,76,0,51,13,0,3,27,1,51,10,0,15,110000000.00,66002193.00,5.7,0.6,FLOP
6.5,2016,2.35,28,0,15,114,1,54,36,0,7,16,0,2,90000000.00,64685359.00,6.5,0.72,FLOP
6.5,2016,1.85,98,0,12,43,0,5,36,0,23,2,0,1,75000000.00,323505540.00,6.5,4.31,BLOCKBUSTER
6.4,2019,1.85,74,0,20,59,0,7,94,0,2,2,0,0,73000000.00,107225164.00,6.4,1.47,AVERAGE
5.9,2016,2.35,47,0,4,65,0,19,6,0,2,12,0,5,60000000.00,62401264.00,5.9,1.04,HIT
7.7,2018,2.35,69,0,14,13,0,2,27,0,0,4,0,2,58000000.00,363024263.00,7.7,6.26,BLOCKBUSTER
6.3,2016,2.35,58,0,11,113,0,5,35,0,1,10,0,0,50000000.00,126088877.00,6.3,2.52,BLOCKBUSTER
7.3,2016,2.35,51,0,0,32,0,2,47,0,0,54,0,9,50000000.00,52822418.00,7.3,1.06,HIT
6.9,2016,1.85,58,1,42,4,0,0,33,0,1,4,0,8,50000000.00,20389967.00,6.9,0.41,FLOP
4.7,2016,2.35,51,0,3,96,0,12,44,0,1,15,0,14,50000000.00,28837115.00,4.7,0.58,FLOP
7.3,2016,2.35,62,0,4,38,0,6,351,0,7,10,0,1,40000000.00,102310175.00,7.3,2.56,BLOCKBUSTER
5.2,2016,2.35,63,0,20,22,0,0,12,0,3,3,0,1,38000000.00,34912982.00,5.2,0.92,FLOP
6.1,2016,2.35,62,0,8,18,0,0,36,0,3,13,0,11,38000000.00,46813366.00,6.1,1.23,HIT
5.7,2016,2.35,63,0,20,34,0,0,28,0,3,5,0,2,35000000.00,55291815.00,5.7,1.58,AVERAGE
6.3,2016,2.35,57,1,82,70,0,4,99,0,5,44,0,4,20000000.00,12626905.00,6.3,0.63,FLOP
6.8,2015,2.35,105,2,73,49,0,3,17,0,0,8,1,55,245000000.00,200074175.00,6.8,0.82,FLOP
7.3,2015,2.35,20,0,9,82,0,34,58,0,47,16,0,25,250000000.00,458991599.00,7.3,1.84,SUPER_HIT
