Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,IMDb_Label
2016,2.35,17,0,1,28,0,1,26,0,0,18,0,3,250000000,CLASS-2
2016,2.35,83,0,35,63,0,38,42,0,5,18,0,3,250000000,CLASS-4
2016,2.35,16,0,1,16,0,0,21,0,0,16,0,3,185000000,CLASS-3
2016,2.35,106,2,73,46,0,9,15,0,0,21,0,14,180000000,CLASS-2
2016,2.35,28,1,106,47,0,67,10,0,6,14,0,15,178000000,CLASS-3
2016,2.35,65,0,54,351,0,5,34,0,0,8,0,0,175000000,CLASS-2
2016,1.85,58,0,53,81,0,45,32,0,14,17,0,3,175000000,CLASS-3
2016,2.35,182,0,5,42,0,5,74,0,4,18,0,15,165000000,CLASS-2
2016,1.85,76,0,67,69,0,13,40,1,56,12,0,2,170000000,CLASS-2
2016,2.35,48,0,2,120,0,6,31,0,11,4,0,15,160000000,CLASS-3
2016,2.35,106,2,73,46,0,8,15,0,0,21,0,7,180000000,CLASS-2
2016,2.35,161,1,48,51,1,47,106,0,1,1,0,0,145000000,CLASS-3
2016,2.35,47,0,4,22,0,0,82,0,0,28,0,7,140000000,CLASS-2
2016,2.35,26,1,17,69,0,2,51,0,7,56,3,148,140000000,CLASS-2
2016,2.35,73,1,27,23,0,7,44,0,2,17,0,38,120000000,CLASS-3
2016,2.35,24,0,8,14,0,3,11,0,0,3,0,0,115000000,CLASS-2
2016,2.35,76,0,51,13,0,3,27,1,51,10,0,15,110000000,CLASS-2
2016,2.35,28,0,15,114,1,54,36,0,7,16,0,2,90000000,CLASS-2
2016,1.85,98,0,12,43,0,5,36,0,23,2,0,1,75000000,CLASS-2
2019,1.85,74,0,20,59,0,7,94,0,2,2,0,0,73000000,CLASS-2
2016,2.35,47,0,4,65,0,19,6,0,2,12,0,5,60000000,CLASS-2
2018,2.35,69,0,14,13,0,2,27,0,0,4,0,2,58000000,CLASS-4
2016,2.35,58,0,11,113,0,5,35,0,1,10,0,0,50000000,CLASS-2
2016,2.35,51,0,0,32,0,2,47,0,0,54,0,9,50000000,CLASS-3
2016,1.85,58,1,42,4,0,0,33,0,1,4,0,8,50000000,CLASS-3
2016,2.35,51,0,3,96,0,12,44,0,1,15,0,14,50000000,CLASS-1
2016,2.35,62,0,4,38,0,6,351,0,7,10,0,1,40000000,CLASS-3
2016,2.35,63,0,20,22,0,0,12,0,3,3,0,1,38000000,CLASS-2
2016,2.35,62,0,8,18,0,0,36,0,3,13,0,11,38000000,CLASS-2
2016,2.35,63,0,20,34,0,0,28,0,3,5,0,2,35000000,CLASS-2
2016,2.35,57,1,82,70,0,4,99,0,5,44,0,4,20000000,CLASS-2
2015,2.35,105,2,73,49,0,3,17,0,0,8,1,55,245000000,CLASS-3
2015,2.35,20,0,9,82,0,34,58,0,47,16,0,25,250000000,CLASS-3
2015,2,32,0,17,127,0,0,49,0,6,4,0,7,150000000,CLASS-3
2015,2.35,41,0,1,42,0,6,29,0,6,9,0,14,190000000,CLASS-3
2015,2.35,43,0,17,57,0,12,21,0,21,9,0,12,176000000,CLASS-2
2015,1.85,81,0,24,29,0,10,12,0,5,8,2,46,175000000,CLASS-4
2015,2.2,124,0,10,68,0,1,6,0,0,9,2,32,190000000,CLASS-2
2015,2.35,28,1,104,63,1,79,38,0,17,80,0,5,160000000,CLASS-3
2015,2.35,149,1,48,17,0,8,34,0,5,31,0,8,155000000,CLASS-2
2015,2.35,43,0,15,14,0,57,25,0,3,18,1,71,150000000,CLASS-4
2015,2.35,39,0,46,46,0,27,51,0,3,2,1,9,150000000,CLASS-3
2015,2.35,43,0,26,19,0,3,27,0,0,14,0,11,150000000,CLASS-4
2015,2.35,46,1,87,43,0,14,84,0,6,14,4,120,135000000,CLASS-4
2015,1.85,122,0,0,41,0,0,91,0,6,23,0,2,130000000,CLASS-3
2011,1.85,17,0,22,16,0,2,133,0,1,5,0,6,135000000,CLASS-4
2015,2.35,61,0,78,73,0,0,48,0,1,5,0,1,120000000,CLASS-1
2015,2.35,53,0,12,68,0,2,63,0,6,10,0,0,110000000,CLASS-2
2015,2.35,55,1,82,11,0,3,51,0,5,8,0,15,110000000,CLASS-2
2015,2.35,69,1,32,74,0,27,61,0,0,42,0,44,108000000,CLASS-4
2015,1.85,20,0,9,16,0,0,3,0,6,33,2,37,100000000,CLASS-3
2015,1.85,6,0,0,4,0,0,57,0,14,10,0,1,99000000,CLASS-3
2015,2.35,38,0,8,133,0,9,23,0,4,16,0,33,95000000,CLASS-3
2015,1.85,86,0,6,34,0,1,61,0,9,8,0,0,90000000,CLASS-1
2015,2.35,61,0,18,58,0,54,40,0,10,17,0,6,88000000,CLASS-2
2015,2.35,61,0,78,73,0,1,48,0,1,5,0,1,120000000,CLASS-1
2015,1.85,138,0,22,58,0,54,7,0,1,22,0,7,80000000,CLASS-3
2015,2.35,29,0,4,19,0,1,21,0,4,8,0,0,90000000,CLASS-2
2015,2.35,84,1,38,96,0,43,16,0,4,17,0,15,81200000,CLASS-4
2015,2.35,16,0,1,19,0,4,91,0,1,19,0,8,75000000,CLASS-3
2015,1.85,65,0,29,57,0,13,96,0,14,7,0,0,74000000,CLASS-2
2015,1.85,122,0,6,229,0,6,81,0,1,1,0,2,74000000,CLASS-2
2015,2.35,20,0,9,40,0,0,104,0,24,19,0,18,70000000,CLASS-2
2020,2.35,126,0,18,124,1,53,55,0,2,14,0,24,68000000,CLASS-4
2015,2.35,52,0,1,35,0,0,86,0,0,11,0,34,55000000,CLASS-3
2014,2.35,12,0,4,7,0,0,65,0,10,21,3,136,250000000,CLASS-3
2014,2.35,26,0,7,34,0,3,78,0,29,53,0,9,210000000,CLASS-2
2012,2.35,28,0,58,18,0,13,12,0,7,52,0,7,200000000,CLASS-3
2014,2.35,26,1,102,56,0,19,41,1,31,12,0,18,200000000,CLASS-4
2014,2.35,38,0,42,17,0,0,55,0,6,12,0,2,178000000,CLASS-4
2014,2.35,54,1,50,10,0,1,10,0,7,0,2,19,180000000,CLASS-3
2014,1.85,83,1,47,122,0,0,18,0,3,10,0,2,170000000,CLASS-4
2014,2.35,56,0,51,37,0,6,40,0,0,16,0,7,170000000,CLASS-4
2014,2.39,15,0,0,16,0,5,78,0,1,1,1,1,165000000,CLASS-4
2014,2.35,43,0,38,28,0,4,39,0,16,13,0,15,170000000,CLASS-4
2014,2.35,54,1,37,40,1,51,14,0,4,12,0,137,165000000,CLASS-4
2014,1.85,31,0,12,22,0,5,9,0,4,14,0,1,145000000,CLASS-3
2014,2.35,43,1,69,31,0,7,65,0,12,41,0,44,140000000,CLASS-2
2014,2.35,46,0,3,39,0,13,43,0,21,4,0,8,145000000,CLASS-4
2014,1.85,50,0,26,35,0,1,94,0,2,7,0,7,132000000,CLASS-3
2014,1.85,121,1,46,17,0,19,21,0,7,13,0,41,125000000,CLASS-2
2014,1.85,105,1,58,19,1,14,93,0,14,32,0,4,127000000,CLASS-2
2014,2.35,26,1,102,60,1,81,36,0,19,79,0,5,125000000,CLASS-3
2014,2.35,20,0,4,42,0,0,41,0,1,2,0,3,110000000,CLASS-2
2014,2.35,40,0,1,69,0,47,71,0,42,4,0,2,90000000,CLASS-2
2014,2.35,81,1,41,39,0,11,62,0,5,1,0,11,95000000,CLASS-2
2014,2.35,70,0,68,103,1,53,93,0,5,0,1,26,100000000,CLASS-2
2014,2.35,54,1,79,10,0,3,48,0,5,6,0,4,85000000,CLASS-3
2014,2.35,46,0,0,91,0,0,8,0,0,13,0,2,80000000,CLASS-2
2014,2.35,72,0,45,67,0,0,98,0,10,5,2,91,70000000,CLASS-2
2014,2.35,40,0,2,67,1,28,33,0,0,1,0,0,70000000,CLASS-2
2014,2.35,16,0,2,18,0,0,11,0,0,27,0,3,70000000,CLASS-1
2014,2.35,19,1,16,40,0,2,19,0,1,5,0,1,66000000,CLASS-2
2014,2.35,12,0,2,22,0,11,9,0,3,2,1,56,65000000,CLASS-3
2013,2.39,7,0,19,47,0,3,66,0,2,4,0,0,65000000,CLASS-4
2014,1.85,66,0,16,99,0,1,18,0,5,2,0,2,65000000,CLASS-3
