Distributor,Theaters,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_ratings,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations,Movie_awords_win,Movie_awords_nominations,Movie_awords_oscars
30,4662,2019,356000000,2.39,181,8.4,23,21,1,4,14,361,88,2,40,113,93,46,0,7,53,475,63,3,29,3,5,78,2,41,55,104,11,1,2,16,343,17,1,0,1,189,42,3,3,13,70,110,1
30,4474,2018,321000000,2.39,149,8.4,23,20,1,3,13,361,87,2,39,112,94,31,0,13,45,475,62,3,28,3,5,77,2,40,54,104,10,1,1,15,343,16,1,0,0,189,41,3,2,12,46,74,1
30,4134,2015,245000000,2.39,138,7.9,175,12,2,18,52,162,73,1,36,34,420,274,0,23,24,108,0,3,2,3,109,244,5,179,333,366,20,4,11,22,55,20,0,0,0,282,40,1,2,14,62,130,5
30,4232,2017,317000000,2.39,152,7,362,11,1,31,64,288,296,0,23,24,79,0,3,4,10,2,31,2,52,2,109,251,5,181,335,492,7,1,31,64,318,26,0,0,1,282,42,1,2,14,25,98,4
29,4274,2015,150000000,2,124,7,80,4,0,7,9,85,35,0,17,37,73,0,1,15,21,289,130,0,33,0,148,31,1,75,103,499,4,0,1,2,166,33,1,1,3,23,51,1,0,3,15,57,0
30,4349,2012,220000000,1.85,143,8,237,11,1,16,38,361,78,2,33,106,93,32,0,7,53,475,49,3,22,3,5,70,2,34,48,334,20,1,16,38,301,48,2,4,25,6,11,1,5,37,38,79,1
30,4020,2018,200000000,2.39,134,7.3,390,5,0,48,53,75,27,1,32,87,444,36,1,38,66,459,0,1,89,1,125,10,1,8,56,521,4,0,48,53,262,43,1,1,24,339,62,1,23,18,110,272,3
30,4725,2019,260000000,1.85,118,6.9,219,20,2,7,14,79,47,1,57,83,315,24,13,14,28,309,183,1,24,1,75,126,1,120,243,269,12,1,0,2,35,35,6,9,7,212,0,0,0,2,19,39,1
30,4276,2015,250000000,2.39,141,7.3,237,16,1,19,41,361,82,2,36,109,94,20,0,13,45,475,57,3,25,3,44,92,4,74,95,334,25,1,19,41,20,0,0,0,0,6,14,1,8,40,8,49,0
30,4410,2018,200000000,2.39,118,7.6,41,10,2,29,38,93,84,4,2,9,233,0,1,41,90,657,0,0,0,0,148,48,1,78,106,66,14,2,29,38,315,0,0,1,8,319,0,0,0,0,12,74,1
