director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_facebook_likes,duration,facenumber_in_poster,country,title_year,budget,Action,Adventure,Sci-Fi,Romance,Animation,Mystery,Fantasy,Family,Comedy,Crime,Drama,Horror,Biography,Thriller
165,221,7,14000,8,11000,797,553,0,91,2,31,2011,79000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,420,328,2000,270,906,418,535,0,104,5,31,2011,75000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0
137,42,504,975,586,569,262,557,0,99,2,31,2011,21000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0
443,31,26,1000,348,1000,475,733,0,87,0,31,2011,75000000,0,1,0,0,1,0,1,1,1,0,0,0,0,0
602,0,323,13000,532,240,299,175,42000,106,4,31,2011,60000000,0,0,0,0,0,0,0,0,0,0,1,0,0,1
602,0,323,13000,532,240,299,175,42000,106,4,31,2011,60000000,0,0,0,0,0,0,0,0,0,0,1,0,0,1
402,83,367,12000,682,1000,155,1000,18000,96,1,31,2011,57000000,1,0,0,0,0,0,1,0,0,0,0,0,0,1
402,83,367,12000,682,1000,155,1000,18000,96,1,31,2011,57000000,1,0,0,0,0,0,1,0,0,0,0,0,0,1
270,174,296,14000,269,903,5,767,29000,113,3,30,2011,30000000,1,0,0,0,0,1,0,0,0,0,0,0,0,1
270,174,296,14000,269,903,5,767,29000,113,3,30,2011,30000000,1,0,0,0,0,1,0,0,0,0,0,0,0,1
214,53,323,13000,514,963,402,593,36000,106,2,31,2011,50200000,0,0,1,1,0,0,0,0,0,0,0,0,0,1
199,153,419,3000,444,1000,587,269,0,102,1,31,2011,80000000,0,0,0,1,0,0,0,1,1,0,0,0,0,0
319,4000,410,21000,654,19000,397,4000,18000,124,4,31,2010,200000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
319,4000,410,21000,654,19000,397,4000,18000,124,4,31,2010,200000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
620,13000,248,40000,18,25000,48,11000,24000,108,0,31,2010,200000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0
620,13000,248,40000,18,25000,48,11000,24000,108,0,31,2010,200000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0
443,31,250,4000,401,225,519,213,0,93,2,31,2010,165000000,0,1,0,0,1,0,1,1,1,0,0,0,0,0
154,171,411,21000,425,17000,47,10000,29000,124,3,31,2010,68000000,0,1,0,1,0,0,1,0,0,0,1,0,0,0
107,22000,291,29000,725,27000,409,23000,175000,148,0,31,2010,160000000,1,1,1,0,0,0,0,0,0,0,0,0,0,1
277,79,39,608,692,362,147,218,0,101,1,31,2010,20000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0
452,15,59,799,220,553,503,284,29000,100,1,31,2010,260000000,0,1,0,1,1,0,1,1,1,0,0,0,0,0
338,364,215,12000,562,10000,339,1000,30000,125,0,31,2010,170000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
158,255,173,18000,36,953,165,759,33000,98,0,31,2010,165000000,0,1,0,0,1,0,1,1,0,0,0,0,0,0
409,17000,291,29000,374,223,584,163,53000,138,0,31,2010,80000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1
165,221,455,12000,8,11000,712,4000,12000,102,4,31,2010,80000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
391,0,439,1000,553,756,0,346,18000,103,0,31,2010,150000000,1,1,0,0,0,0,1,1,0,0,0,0,0,0
1,285,141,12000,750,8000,204,107,16000,116,2,31,2010,100000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0
609,13000,209,26000,695,13000,374,5000,57000,113,9,31,2010,80000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1
8,117,126,18000,524,15000,277,10000,20000,118,0,31,2010,80000000,1,1,0,0,0,0,0,0,0,0,1,0,0,1
632,480,410,21000,585,561,528,490,25000,95,3,31,2010,65000000,0,0,0,0,0,0,0,0,1,0,1,0,0,0
292,394,32,12000,674,490,63,162,0,119,0,31,2010,150000000,0,0,0,0,0,0,1,0,0,0,1,1,0,1
96,0,301,8000,629,3000,772,1000,9000,118,0,30,2010,95000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0
426,127,92,962,452,740,466,722,0,146,4,31,2010,100000000,0,0,0,1,0,0,0,0,1,0,1,0,0,0
485,80,409,22000,87,713,789,708,0,98,10,31,2010,100000000,0,0,0,1,0,0,0,0,1,0,0,0,0,0
