duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,budget,gross,Finance_Label
183,0,2000,15000,24450,0,3018,4000,197000,250000000.00,330000000.00,AVERAGE
147,94,11000,21000,64798,0,1022,19000,72000,250000000.00,407000000.00,AVERAGE
122,681,105,998,1327,4,432,119,30000,185000000.00,130000000.00,FLOP
110,282,103,11000,21175,2,239,10000,29000,180000000.00,124000000.00,FLOP
144,0,1000,34000,49684,6,622,13000,54000,178000000.00,155000000.00,FLOP
123,452,329,10000,11287,8,971,336,80000,175000000.00,161000000.00,FLOP
106,4000,591,19000,32921,0,398,13000,65000,175000000.00,363000000.00,BLOCKBUSTER
120,776,535,890,3233,0,520,812,67000,165000000.00,102000000.00,FLOP
113,33,11000,40000,80806,1,131,25000,30000,170000000.00,76846624.00,FLOP
123,0,648,3000,5505,0,781,716,89000,160000000.00,46978995.00,FLOP
110,282,103,11000,21175,2,239,10000,29000,180000000.00,124000000.00,FLOP
116,176,322,783,2097,4,1211,370,62000,144000000.00,118000000.00,FLOP
95,5,967,24000,36095,0,145,11000,24000,145000000.00,144000000.00,FLOP
126,295,284,18000,19769,4,273,934,24000,140000000.00,31141074.00,FLOP
117,14000,358,535,1950,0,106,400,27000,140000000.00,52792307.00,FLOP
120,19,9000,26000,46719,2,134,11000,16000,115000000.00,47952020.00,FLOP
120,124,943,6000,12452,3,144,5000,12000,110000000.00,66002193.00,FLOP
129,209,886,11000,23031,6,139,11000,15000,90000000.00,64685359.00,FLOP
87,11,745,1000,4782,0,155,904,36000,75000000.00,324000000.00,BLOCKBUSTER
97,6,415,22000,24350,0,126,1000,14000,73000000.00,107000000.00,AVERAGE
99,24,864,18000,20276,3,323,992,28000,60000000.00,62401264.00,HIT
108,84,361,16000,18239,0,1058,805,117000,58000000.00,363000000.00,BLOCKBUSTER
107,43,569,12000,14569,2,110,919,10000,50000000.00,126000000.00,BLOCKBUSTER
144,0,681,769,3580,0,219,726,44000,50000000.00,52822418.00,HIT
139,378,303,11000,12786,1,47,552,10000,50000000.00,20389967.00,FLOP
102,0,1000,14000,24107,4,150,8000,28000,50000000.00,28837115.00,FLOP
134,0,336,1000,2676,0,279,575,40000,40000000.00,102000000.00,BLOCKBUSTER
102,167,655,2000,5178,0,58,874,0,40000000.00,90835030.00,BLOCKBUSTER
112,5,724,17000,19974,0,266,1000,14000,38000000.00,34912982.00,FLOP
110,11,591,2000,4882,4,83,756,15000,38000000.00,46813366.00,HIT
92,89,190,17000,17860,0,111,329,0,35000000.00,55291815.00,AVERAGE
115,214,968,14000,27214,3,106,12000,0,20000000.00,12626905.00,FLOP
148,0,161,11000,11700,1,994,393,85000,245000000.00,200000000.00,FLOP
141,0,19000,26000,92000,4,1117,21000,118000,250000000.00,459000000.00,SUPER_HIT
124,365,1000,3000,8458,0,1290,2000,150000,150000000.00,652000000.00,BLOCKBUSTER
140,0,14000,26000,79150,0,657,23000,94000,190000000.00,350000000.00,SUPER_HIT
127,0,13000,17000,47334,1,720,15000,44000,176000000.00,47375327.00,FLOP
95,0,384,1000,2944,1,773,767,118000,175000000.00,356000000.00,BLOCKBUSTER
130,663,604,2000,5046,2,497,638,37000,190000000.00,93417865.00,FLOP
137,508,14000,34000,81385,1,383,22000,38000,160000000.00,282000000.00,SUPER_HIT
126,230,2000,24000,38873,2,867,10000,82000,155000000.00,89732035.00,FLOP
120,750,943,27000,40025,0,1588,9000,191000,150000000.00,154000000.00,HIT
131,188,641,10000,21840,0,440,10000,47000,150000000.00,195000000.00,AVERAGE
111,456,394,20000,21393,4,186,548,24000,150000000.00,34964818.00,FLOP
156,0,733,29000,57108,0,1188,27000,190000,135000000.00,184000000.00,AVERAGE
117,235,680,2000,5730,6,549,2000,61000,130000000.00,180000000.00,AVERAGE
94,12,183,17000,17883,0,214,523,26000,135000000.00,177000000.00,AVERAGE
100,128,78,596,1261,3,695,360,41000,120000000.00,56114221.00,FLOP
114,62,884,12000,16718,0,499,2000,52000,110000000.00,155000000.00,AVERAGE
