Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
2.35,17,0,1,28,0,1,26,0,0,18,0,3,18,0,3,3,1,17,25,0,7,21,0,0,250000000.00,6.4,CLASS-2
2.35,83,0,35,63,0,38,42,0,5,18,0,3,18,0,3,9,0,5,17,0,11,13,0,0,250000000.00,7.8,CLASS-4
2.35,16,0,1,16,0,0,21,0,0,16,0,3,16,0,3,21,0,11,37,1,80,39,0,3,185000000.00,7.1,CLASS-3
2.35,106,2,73,46,0,9,15,0,0,21,0,14,21,0,14,1,0,0,24,0,12,24,0,1,180000000.00,6.2,CLASS-2
2.35,28,1,106,47,0,67,10,0,6,14,0,15,14,0,15,10,0,4,33,1,8,63,0,5,178000000.00,6.9,CLASS-3
2.35,65,0,54,351,0,5,34,0,0,8,0,0,8,0,0,9,0,0,40,1,19,13,0,2,175000000.00,6,CLASS-2
1.85,58,0,53,81,0,45,32,0,14,17,0,3,17,0,3,6,0,0,100,0,32,48,0,3,175000000.00,7.4,CLASS-3
2.35,182,0,5,42,0,5,74,0,4,18,0,15,18,0,15,3,0,1,6,0,3,16,0,4,165000000.00,5.2,CLASS-2
1.85,76,0,67,69,0,13,40,1,56,12,0,2,12,0,2,33,0,1,95,0,80,45,0,10,170000000.00,6.2,CLASS-2
2.35,48,0,2,120,0,6,31,0,11,4,0,15,4,0,15,8,0,0,22,0,22,12,0,5,160000000.00,6.8,CLASS-3
2.35,106,2,73,46,0,8,15,0,0,21,0,7,21,0,7,1,0,0,24,0,14,24,0,1,180000000.00,6.2,CLASS-2
2.35,161,1,48,51,1,47,106,0,1,1,0,0,1,0,0,13,0,1,116,1,121,0,0,0,145000000.00,7.1,CLASS-3
2.35,47,0,4,22,0,0,82,0,0,28,0,7,28,0,7,2,0,0,51,0,18,28,0,0,140000000.00,5.4,CLASS-2
2.35,26,1,17,69,0,2,51,0,7,56,3,148,56,3,148,10,0,3,248,5,184,43,2,36,140000000.00,6.4,CLASS-2
2.35,73,1,27,23,0,7,44,0,2,17,0,38,17,0,38,9,0,38,16,0,1,75,0,13,120000000.00,6.6,CLASS-3
2.35,24,0,8,14,0,3,11,0,0,3,0,0,3,0,0,19,0,1,99,0,68,57,0,10,115000000.00,6.1,CLASS-2
2.35,76,0,51,13,0,3,27,1,51,10,0,15,10,0,15,1,0,2,47,0,2,34,0,1,110000000.00,5.7,CLASS-2
2.35,28,0,15,114,1,54,36,0,7,16,0,2,16,0,2,17,0,1,67,0,16,50,0,2,90000000.00,6.5,CLASS-2
1.85,98,0,12,43,0,5,36,0,23,2,0,1,2,0,1,16,0,1,67,2,99,0,0,1,75000000.00,6.5,CLASS-2
1.85,74,0,20,59,0,7,94,0,2,2,0,0,2,0,0,13,0,3,89,0,6,0,0,0,73000000.00,6.4,CLASS-2
2.35,47,0,4,65,0,19,6,0,2,12,0,5,12,0,5,2,0,0,32,0,6,26,0,1,60000000.00,5.9,CLASS-2
2.35,69,0,14,13,0,2,27,0,0,4,0,2,4,0,2,13,0,2,25,0,7,31,0,0,58000000.00,7.7,CLASS-4
2.35,58,0,11,113,0,5,35,0,1,10,0,0,10,0,0,1,0,0,10,1,8,17,0,0,50000000.00,6.3,CLASS-2
2.35,51,0,0,32,0,2,47,0,0,54,0,9,54,0,9,2,0,0,70,0,8,40,1,18,50000000.00,7.3,CLASS-3
1.85,58,1,42,4,0,0,33,0,1,4,0,8,4,0,8,10,0,8,4,0,26,57,0,4,50000000.00,6.9,CLASS-3
2.35,51,0,3,96,0,12,44,0,1,15,0,14,15,0,14,5,0,3,11,0,15,21,0,0,50000000.00,4.7,CLASS-1
