,movie_title,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_facebook_likes,genres,duration,facenumber_in_poster,country,title_year,budget,gross,imdb_score,Finance_ratio,Financial_Label,IMDb_Label,numeric_country,Action,Adventure,Sci-Fi,Romance,Animation,Mystery,Fantasy,Family,Comedy,Crime,Drama,Horror,Biography,Thriller
0,Batman v Superman: Dawn of Justice ,675,0,185,15000,436,4000,9,2000,197000,Action|Adventure|Sci-Fi,183,0,31,2016,250000000,330249062,6.9,1.320996248,Hit,CLASS-3,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,Captain America: Civil War ,43,94,410,21000,654,19000,145,11000,72000,Action|Adventure|Sci-Fi,147,0,31,2016,250000000,407197282,8.2,1.6287891280000002,Hit,CLASS-4,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2,Star Trek Beyond ,350,681,450,998,506,119,502,105,30000,Action|Adventure|Sci-Fi|Thriller,122,4,31,2016,185000000,130468626,7.5,0.705235816,Flop,CLASS-3,31,1,1,1,0,0,0,0,0,0,0,0,0,0,1
3,The Legend of Tarzan ,157,282,95,11000,25,10000,125,103,29000,Action|Adventure|Drama|Romance,110,2,31,2016,180000000,124051759,6.6,0.689176439,Flop,CLASS-3,31,1,1,0,1,0,0,0,0,0,0,1,0,0,0
4,X-Men: Apocalypse ,82,0,222,34000,512,13000,821,1000,54000,Action|Adventure|Sci-Fi,144,6,31,2016,178000000,154985087,7.3,0.8707027359999999,Flop,CLASS-3,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5,Suicide Squad ,136,452,499,10000,620,336,318,329,80000,Action|Adventure|Comedy|Sci-Fi,123,8,31,2016,175000000,161087183,6.9,0.920498189,Flop,CLASS-3,31,1,1,1,0,0,0,0,0,1,0,0,0,0,0
6,The Jungle Book ,319,4000,435,19000,80,13000,276,591,65000,Adventure|Drama|Family|Fantasy,106,0,30,2016,175000000,362645141,7.8,2.072257949,BlockBaster,CLASS-4,30,0,1,0,0,0,0,1,1,0,0,1,0,0,0
7,Independence Day: Resurgence ,544,776,493,890,664,812,418,535,67000,Action|Adventure|Sci-Fi,120,0,31,2016,165000000,102315545,5.5,0.620094212,Flop,CLASS-2,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8,Alice Through the Looking Glass ,251,33,248,40000,18,25000,48,11000,30000,Adventure|Family|Fantasy,113,1,31,2016,170000000,76846624,6.4,0.452038965,Flop,CLASS-2,31,0,1,0,0,0,0,1,1,0,0,0,0,0,0
9,Warcraft ,176,0,133,3000,119,716,708,648,89000,Action|Adventure|Fantasy,123,0,31,2016,160000000,46978995,7.3,0.293618719,Flop,CLASS-3,31,1,1,0,0,0,0,1,0,0,0,0,0,0,0
10,The Legend of Tarzan ,157,282,95,11000,25,10000,125,103,29000,Action|Adventure|Drama|Romance,110,2,31,2016,180000000,124051759,6.6,0.689176439,Flop,CLASS-3,31,1,1,0,1,0,0,0,0,0,0,1,0,0,0
11,Ghostbusters ,476,176,142,783,394,370,853,322,62000,Action|Comedy|Fantasy|Sci-Fi,116,4,31,2016,144000000,118099659,5.5,0.8201365209999999,Flop,CLASS-2,31,1,0,1,0,0,0,1,0,1,0,0,0,0,0
12,Kung Fu Panda 3 ,12,5,193,24000,44,11000,839,967,24000,Action|Adventure|Animation|Comedy|Family,95,0,31,2016,145000000,143523463,7.2,0.9898169859999999,Flop,CLASS-3,31,1,1,0,0,1,0,0,1,1,0,0,0,0,0
13,Gods of Egypt ,14,295,173,18000,240,934,116,284,24000,Action|Adventure|Fantasy,126,4,31,2016,140000000,31141074,5.5,0.222436243,Flop,CLASS-2,31,1,1,0,0,0,0,1,0,0,0,0,0,0,0
14,The BFG ,603,14000,318,535,575,400,650,358,27000,Adventure|Family|Fantasy,117,0,30,2016,140000000,52792307,6.8,0.37708790700000006,Flop,CLASS-3,30,0,1,0,0,0,0,1,1,0,0,0,0,0,0
15,Jason Bourne ,477,521,323,13000,612,365,68,265,31000,Action|Thriller,123,0,30,2016,120000000,108521835,7.1,0.904348625,Flop,CLASS-3,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,The Huntsman: Winter's War ,90,19,90,26000,645,11000,138,9000,16000,Action|Adventure|Drama|Fantasy,120,2,31,2016,115000000,47952020,6.1,0.41697408700000005,Flop,CLASS-2,31,1,1,0,0,0,0,1,0,0,0,1,0,0,0
17,Allegiant ,535,124,359,6000,704,5000,860,943,12000,Action|Adventure|Mystery|Sci-Fi|Thriller,120,3,31,2016,110000000,66002193,5.8,0.600019936,Flop,CLASS-2,31,1,1,1,0,0,1,0,0,0,0,0,0,0,1
18,Now You See Me 2 ,323,209,114,11000,533,11000,719,886,15000,Action|Adventure|Comedy|Crime|Mystery|Thriller,129,6,31,2016,90000000,64685359,6.9,0.7187262109999999,Flop,CLASS-3,31,1,1,0,0,0,1,0,0,1,1,0,0,0,1
19,The Secret Life of Pets ,670,11,457,1000,254,904,11,745,36000,Animation|Comedy|Family,87,0,19,2016,75000000,323505540,6.8,4.3134072,BlockBaster,CLASS-3,19,0,0,0,0,1,0,0,1,1,0,0,0,0,0
20,The Angry Birds Movie ,112,6,392,22000,376,1000,446,415,14000,Action|Animation|Comedy|Family,97,0,31,2016,73000000,107225164,6.3,1.468837863,Hit,CLASS-2,31,1,0,0,0,1,0,0,1,1,0,0,0,0,0
21,London Has Fallen ,50,24,173,18000,588,992,427,864,28000,Action|Crime|Drama|Thriller,99,3,30,2016,60000000,62401264,5.9,1.040021067,Average,CLASS-2,30,1,0,0,0,0,0,0,0,0,1,1,0,0,1
22,Deadpool ,624,84,425,16000,228,805,757,361,117000,Action|Adventure|Comedy|Romance|Sci-Fi,108,0,31,2016,58000000,363024263,8.1,6.259039017,BlockBaster,CLASS-4,31,1,1,1,1,0,0,0,0,1,0,0,0,0,0
23,Central Intelligence ,511,43,141,12000,706,919,536,569,10000,Action|Comedy|Crime,107,2,31,2016,50000000,126088877,6.6,2.52177754,BlockBaster,CLASS-3,31,1,0,0,0,0,0,0,0,1,1,0,0,0,0
24,13 Hours ,418,0,475,769,321,726,189,681,44000,Action|Drama|Thriller|War,144,0,31,2016,50000000,52822418,7.4,1.05644836,Average,CLASS-3,31,1,0,0,0,0,0,0,0,0,0,1,0,0,1
25,Free State of Jones ,205,378,329,11000,218,552,370,303,10000,Action|Biography|Drama|History|War,139,1,31,2016,50000000,20389967,6.7,0.40779934,Flop,CLASS-3,31,1,0,0,0,0,0,0,0,0,0,1,0,1,0
26,Zoolander 2 ,58,0,350,14000,750,8000,431,1000,28000,Comedy,102,4,31,2016,50000000,28837115,4.8,0.5767423,Flop,CLASS-1,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,The Infiltrator ,71,65,253,788,39,423,608,345,0,Biography|Crime|Drama|Thriller,127,1,30,2016,25000000,14946229,7.3,0.59784916,Flop,CLASS-3,30,0,0,0,0,0,0,0,0,0,1,1,0,1,1
28,The Conjuring 2 ,263,0,211,1000,267,575,689,336,40000,Horror|Mystery|Thriller,134,0,31,2016,40000000,102310175,7.8,2.557754375,BlockBaster,CLASS-4,31,0,0,0,0,0,1,0,0,0,0,0,1,0,1
29,Ride Along 2 ,625,167,379,2000,536,874,113,655,0,Action|Comedy,102,0,31,2016,40000000,90835030,5.9,2.27087575,BlockBaster,CLASS-2,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,The 5th Wave ,243,5,87,17000,470,1000,589,724,14000,Action|Adventure|Sci-Fi|Thriller,112,0,31,2016,38000000,34912982,5.2,0.918762684,Flop,CLASS-2,31,1,1,1,0,0,0,0,0,0,0,0,0,0,1
31,How to Be Single ,103,11,21,2000,176,756,586,591,15000,Comedy|Romance,110,4,31,2016,38000000,46813366,6.1,1.2319306840000002,Average,CLASS-2,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32,Neighbors 2: Sorority Rising ,456,89,87,17000,305,329,461,190,0,Comedy,92,0,31,2016,35000000,55291815,6.0,1.579766143,Hit,CLASS-2,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,Criminal ,47,34,170,10000,371,877,216,24,0,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,113,2,30,2016,31500000,14268533,6.3,0.452969302,Flop,CLASS-2,30,1,0,1,0,0,1,0,0,0,1,1,0,0,1
34,Ghostbusters ,476,176,142,783,394,370,853,322,62000,Action|Comedy|Fantasy|Sci-Fi,116,4,31,2016,144000000,118099659,5.5,0.8201365209999999,Flop,CLASS-2,31,1,0,1,0,0,0,1,0,1,0,0,0,0,0
35,The Boss ,56,265,392,22000,737,779,76,265,0,Comedy,99,1,31,2016,29000000,63034755,5.3,2.173612241,BlockBaster,CLASS-2,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,Pride and Prejudice and Zombies ,83,23,326,2000,69,860,715,845,73000,Action|Horror|Romance,108,0,31,2016,28000000,10907291,5.8,0.38954610700000003,Flop,CLASS-2,31,1,0,0,1,0,0,0,0,0,0,0,1,0,0
37,The Jungle Book ,319,4000,435,19000,80,13000,276,591,65000,Adventure|Drama|Family|Fantasy,106,0,30,2016,175000000,362645141,7.8,2.072257949,BlockBaster,CLASS-4,30,0,1,0,0,0,0,1,1,0,0,1,0,0,0
38,Money Monster ,289,0,260,8000,312,698,144,638,0,Crime|Drama|Thriller,98,1,31,2016,27000000,41008532,6.7,1.518834519,Hit,CLASS-3,31,0,0,0,0,0,0,0,0,0,1,1,0,0,1
39,Eddie the Eagle ,167,452,186,20000,699,732,796,141,15000,Biography|Comedy|Drama|Sport,106,3,30,2016,23000000,15785632,7.5,0.686331826,Flop,CLASS-3,30,0,0,0,0,0,0,0,0,1,0,1,0,1,0
