director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_facebook_likes,duration,facenumber_in_poster,country,title_year,budget,Action,Adventure,Sci-Fi,Romance,Animation,Mystery,Fantasy,Family,Comedy,Crime,Drama,Horror,Biography,Thriller,IMDb_Label
675,0,185,15000,436,4000,9,2000,197000,183,0,31,2016,250000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-3
43,94,410,21000,654,19000,145,11000,72000,147,0,31,2016,250000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-4
350,681,450,998,506,119,502,105,30000,122,4,31,2016,185000000,1,1,1,0,0,0,0,0,0,0,0,0,0,1,CLASS-3
157,282,95,11000,25,10000,125,103,29000,110,2,31,2016,180000000,1,1,0,1,0,0,0,0,0,0,1,0,0,0,CLASS-3
82,0,222,34000,512,13000,821,1000,54000,144,6,31,2016,178000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-3
136,452,499,10000,620,336,318,329,80000,123,8,31,2016,175000000,1,1,1,0,0,0,0,0,1,0,0,0,0,0,CLASS-3
319,4000,435,19000,80,13000,276,591,65000,106,0,30,2016,175000000,0,1,0,0,0,0,1,1,0,0,1,0,0,0,CLASS-4
544,776,493,890,664,812,418,535,67000,120,0,31,2016,165000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CLASS-2
251,33,248,40000,18,25000,48,11000,30000,113,1,31,2016,170000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0,CLASS-2
176,0,133,3000,119,716,708,648,89000,123,0,31,2016,160000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,CLASS-3
157,282,95,11000,25,10000,125,103,29000,110,2,31,2016,180000000,1,1,0,1,0,0,0,0,0,0,1,0,0,0,CLASS-3
476,176,142,783,394,370,853,322,62000,116,4,31,2016,144000000,1,0,1,0,0,0,1,0,1,0,0,0,0,0,CLASS-2
12,5,193,24000,44,11000,839,967,24000,95,0,31,2016,145000000,1,1,0,0,1,0,0,1,1,0,0,0,0,0,CLASS-3
14,295,173,18000,240,934,116,284,24000,126,4,31,2016,140000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,CLASS-2
603,14000,318,535,575,400,650,358,27000,117,0,30,2016,140000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0,CLASS-3
477,521,323,13000,612,365,68,265,31000,123,0,30,2016,120000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CLASS-3
90,19,90,26000,645,11000,138,9000,16000,120,2,31,2016,115000000,1,1,0,0,0,0,1,0,0,0,1,0,0,0,CLASS-2
535,124,359,6000,704,5000,860,943,12000,120,3,31,2016,110000000,1,1,1,0,0,1,0,0,0,0,0,0,0,1,CLASS-2
323,209,114,11000,533,11000,719,886,15000,129,6,31,2016,90000000,1,1,0,0,0,1,0,0,1,1,0,0,0,1,CLASS-3
670,11,457,1000,254,904,11,745,36000,87,0,19,2016,75000000,0,0,0,0,1,0,0,1,1,0,0,0,0,0,CLASS-3
112,6,392,22000,376,1000,446,415,14000,97,0,31,2016,73000000,1,0,0,0,1,0,0,1,1,0,0,0,0,0,CLASS-2
50,24,173,18000,588,992,427,864,28000,99,3,30,2016,60000000,1,0,0,0,0,0,0,0,0,1,1,0,0,1,CLASS-2
624,84,425,16000,228,805,757,361,117000,108,0,31,2016,58000000,1,1,1,1,0,0,0,0,1,0,0,0,0,0,CLASS-4
511,43,141,12000,706,919,536,569,10000,107,2,31,2016,50000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0,CLASS-3
418,0,475,769,321,726,189,681,44000,144,0,31,2016,50000000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,CLASS-3
205,378,329,11000,218,552,370,303,10000,139,1,31,2016,50000000,1,0,0,0,0,0,0,0,0,0,1,0,1,0,CLASS-3
58,0,350,14000,750,8000,431,1000,28000,102,4,31,2016,50000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLASS-1
71,65,253,788,39,423,608,345,0,127,1,30,2016,25000000,0,0,0,0,0,0,0,0,0,1,1,0,1,1,CLASS-3
