director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_facebook_likes,duration,facenumber_in_poster,country,title_year,budget,gross,Action,Adventure,Sci-Fi,Romance,Animation,Mystery,Fantasy,Family,Comedy,Crime,Drama,Horror,Biography,Thriller,Financial_Label
675,0,185,15000,436,4000,9,2000,197000,183,0,31,2016,250000000,330249062,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Hit
43,94,410,21000,654,19000,145,11000,72000,147,0,31,2016,250000000,407197282,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Hit
350,681,450,998,506,119,502,105,30000,122,4,31,2016,185000000,130468626,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Flop
157,282,95,11000,25,10000,125,103,29000,110,2,31,2016,180000000,124051759,1,1,0,1,0,0,0,0,0,0,1,0,0,0,Flop
82,0,222,34000,512,13000,821,1000,54000,144,6,31,2016,178000000,154985087,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Flop
136,452,499,10000,620,336,318,329,80000,123,8,31,2016,175000000,161087183,1,1,1,0,0,0,0,0,1,0,0,0,0,0,Flop
319,4000,435,19000,80,13000,276,591,65000,106,0,30,2016,175000000,362645141,0,1,0,0,0,0,1,1,0,0,1,0,0,0,BlockBaster
544,776,493,890,664,812,418,535,67000,120,0,31,2016,165000000,102315545,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Flop
251,33,248,40000,18,25000,48,11000,30000,113,1,31,2016,170000000,76846624,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Flop
176,0,133,3000,119,716,708,648,89000,123,0,31,2016,160000000,46978995,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Flop
157,282,95,11000,25,10000,125,103,29000,110,2,31,2016,180000000,124051759,1,1,0,1,0,0,0,0,0,0,1,0,0,0,Flop
476,176,142,783,394,370,853,322,62000,116,4,31,2016,144000000,118099659,1,0,1,0,0,0,1,0,1,0,0,0,0,0,Flop
12,5,193,24000,44,11000,839,967,24000,95,0,31,2016,145000000,143523463,1,1,0,0,1,0,0,1,1,0,0,0,0,0,Flop
14,295,173,18000,240,934,116,284,24000,126,4,31,2016,140000000,31141074,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Flop
603,14000,318,535,575,400,650,358,27000,117,0,30,2016,140000000,52792307,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Flop
477,521,323,13000,612,365,68,265,31000,123,0,30,2016,120000000,108521835,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Flop
90,19,90,26000,645,11000,138,9000,16000,120,2,31,2016,115000000,47952020,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Flop
535,124,359,6000,704,5000,860,943,12000,120,3,31,2016,110000000,66002193,1,1,1,0,0,1,0,0,0,0,0,0,0,1,Flop
323,209,114,11000,533,11000,719,886,15000,129,6,31,2016,90000000,64685359,1,1,0,0,0,1,0,0,1,1,0,0,0,1,Flop
670,11,457,1000,254,904,11,745,36000,87,0,19,2016,75000000,323505540,0,0,0,0,1,0,0,1,1,0,0,0,0,0,BlockBaster
112,6,392,22000,376,1000,446,415,14000,97,0,31,2016,73000000,107225164,1,0,0,0,1,0,0,1,1,0,0,0,0,0,Hit
50,24,173,18000,588,992,427,864,28000,99,3,30,2016,60000000,62401264,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Average
624,84,425,16000,228,805,757,361,117000,108,0,31,2016,58000000,363024263,1,1,1,1,0,0,0,0,1,0,0,0,0,0,BlockBaster
511,43,141,12000,706,919,536,569,10000,107,2,31,2016,50000000,126088877,1,0,0,0,0,0,0,0,1,1,0,0,0,0,BlockBaster
418,0,475,769,321,726,189,681,44000,144,0,31,2016,50000000,52822418,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Average
205,378,329,11000,218,552,370,303,10000,139,1,31,2016,50000000,20389967,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Flop
58,0,350,14000,750,8000,431,1000,28000,102,4,31,2016,50000000,28837115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Flop
71,65,253,788,39,423,608,345,0,127,1,30,2016,25000000,14946229,0,0,0,0,0,0,0,0,0,1,1,0,1,1,Flop
263,0,211,1000,267,575,689,336,40000,134,0,31,2016,40000000,102310175,0,0,0,0,0,1,0,0,0,0,0,1,0,1,BlockBaster
625,167,379,2000,536,874,113,655,0,102,0,31,2016,40000000,90835030,1,0,0,0,0,0,0,0,1,0,0,0,0,0,BlockBaster
243,5,87,17000,470,1000,589,724,14000,112,0,31,2016,38000000,34912982,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Flop
103,11,21,2000,176,756,586,591,15000,110,4,31,2016,38000000,46813366,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Average
456,89,87,17000,305,329,461,190,0,92,0,31,2016,35000000,55291815,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Hit
47,34,170,10000,371,877,216,24,0,113,2,30,2016,31500000,14268533,1,0,1,0,0,1,0,0,0,1,1,0,0,1,Flop
476,176,142,783,394,370,853,322,62000,116,4,31,2016,144000000,118099659,1,0,1,0,0,0,1,0,1,0,0,0,0,0,Flop
56,265,392,22000,737,779,76,265,0,99,1,31,2016,29000000,63034755,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BlockBaster
83,23,326,2000,69,860,715,845,73000,108,0,31,2016,28000000,10907291,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Flop
319,4000,435,19000,80,13000,276,591,65000,106,0,30,2016,175000000,362645141,0,1,0,0,0,0,1,1,0,0,1,0,0,0,BlockBaster
289,0,260,8000,312,698,144,638,0,98,1,31,2016,27000000,41008532,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Hit
167,452,186,20000,699,732,796,141,15000,106,3,30,2016,23000000,15785632,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Flop
209,149,361,20000,551,617,94,439,0,98,0,31,2016,25000000,1512815,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Flop
167,452,186,20000,699,732,796,141,15000,106,3,30,2016,23000000,15785632,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Flop
191,1000,435,19000,133,17000,12,1000,23000,106,5,30,2016,22000000,29997095,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Hit
615,17,428,11000,242,10000,102,418,51000,110,0,30,2016,20000000,56154094,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BlockBaster
322,24,349,15000,334,1000,330,851,18000,100,9,31,2016,20000000,55461307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BlockBaster
365,58,393,141,328,76,521,47,21000,107,2,31,2016,20000000,36874745,1,1,0,0,0,1,0,0,0,0,1,0,0,0,Super Hit
235,24,429,646,474,441,241,374,0,96,0,31,2016,20000000,28876924,0,1,1,0,0,1,0,0,0,1,0,0,0,1,Hit
304,214,267,14000,556,12000,160,968,0,115,3,31,2016,20000000,12626905,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Flop
370,52,366,567,460,312,390,261,19000,94,10,31,2016,18000000,59573085,0,0,0,1,0,0,0,1,1,0,0,0,0,0,BlockBaster
276,337,278,4000,646,820,624,201,0,112,0,12,2016,18000000,3707794,0,1,1,0,0,0,0,0,0,0,1,0,0,1,Flop
119,19,100,241,747,118,259,107,0,111,0,31,2016,18500000,6462576,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Flop
322,24,349,15000,334,1000,330,851,18000,100,9,31,2016,20000000,55461307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BlockBaster
488,10,365,826,751,622,446,415,0,100,2,31,2016,15000000,20566327,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Hit
473,36,219,3000,107,3000,517,579,16000,109,0,31,2016,13000000,61693523,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BlockBaster
270,174,507,619,103,350,736,2,0,86,0,31,2016,17000000,54257433,0,0,0,0,0,0,0,0,0,0,1,1,0,1,BlockBaster
302,32,296,14000,197,81,430,29,139,115,1,26,2016,12620000,31662,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Flop
125,11,409,22000,762,851,350,411,11000,109,1,31,2016,11500000,35537564,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BlockBaster
253,65,164,798,373,465,578,393,0,109,1,9,2016,10000000,78845130,1,0,1,0,0,0,0,0,0,0,0,1,0,1,BlockBaster
664,19,288,4000,632,334,758,130,20000,97,0,31,2016,10000000,35794166,0,0,0,0,0,1,0,0,0,0,0,1,0,1,BlockBaster
269,4,153,533,685,35,281,4,10000,93,1,31,2016,10000000,26583369,0,0,0,0,0,1,0,0,0,0,0,1,0,1,BlockBaster
458,0,268,18000,69,860,135,500,0,118,2,9,2016,7000000,1330827,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Flop
128,16,61,14000,362,338,774,82,33000,104,0,31,2016,15000000,71897215,0,0,1,0,0,1,0,0,0,0,1,1,0,1,BlockBaster
142,26,50,2000,37,509,270,300,0,81,0,31,2016,4900000,56536016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,BlockBaster
429,89,167,729,522,706,707,355,11000,92,4,31,2016,5000000,11675178,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BlockBaster
65,23,137,927,101,509,476,503,740,96,6,31,2016,5000000,9658370,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Super Hit
657,28,128,426,534,294,470,131,0,105,0,3,2016,3500000,123777,1,0,0,0,0,0,1,1,0,1,1,0,1,0,Flop
185,0,273,574,304,327,245,165,174,101,2,20,2016,3000000,3105269,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Average
231,18,45,634,621,420,511,295,0,120,11,31,2016,5000000,20773070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BlockBaster
560,0,95,11000,628,393,759,161,85000,148,1,30,2015,245000000,200074175,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Flop
344,0,90,26000,616,21000,726,19000,118000,141,4,31,2015,250000000,458991599,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Super Hit
116,365,68,3000,383,2000,609,1000,150000,124,0,31,2015,150000000,652177271,1,1,1,0,0,0,0,0,0,0,0,0,0,1,BlockBaster
263,0,209,26000,573,23000,832,14000,94000,140,0,31,2015,190000000,350034110,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Super Hit
372,0,80,17000,524,15000,229,13000,44000,127,1,31,2015,176000000,47375327,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Flop
486,0,26,1000,526,767,636,384,118000,95,1,31,2015,175000000,356454367,0,1,0,0,1,0,1,1,1,0,1,0,0,0,BlockBaster
70,663,259,2000,144,638,793,604,37000,130,2,31,2015,190000000,93417865,1,1,1,0,0,1,0,1,0,0,0,0,0,0,Flop
198,508,222,34000,582,22000,411,14000,38000,137,1,31,2015,160000000,281666058,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Super Hit
7,230,193,24000,242,10000,527,2000,82000,126,2,31,2015,155000000,89732035,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Flop
213,750,478,27000,137,9000,860,943,191000,120,0,0,2015,150000000,153629485,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Average
106,188,476,10000,345,10000,734,641,47000,131,0,5,2015,150000000,195000874,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Hit
294,456,186,20000,121,548,597,394,24000,111,4,31,2015,150000000,34964818,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Flop
10,0,291,29000,725,27000,499,733,190000,156,0,31,2015,135000000,183635922,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Hit
499,235,259,2000,292,2000,778,680,61000,117,6,31,2015,130000000,180191634,1,1,1,0,0,0,0,0,1,0,0,0,0,0,Hit
623,12,233,17000,495,523,56,183,26000,94,0,31,2015,135000000,177343675,0,1,1,0,1,0,1,1,1,0,0,0,0,0,Hit
